game_pk,game_date_et,season,team_id,team_abbr,is_home,opp_sp_hand,ab,h,d,t3,hr,bb,hbp,sf,pa,obp,slg,runs_scored
663357,4/15/2022,2022,110,BAL,1,L,36,6,1,0,0,10,0,0,47,0.3478,0.1944,2
663265,4/15/2022,2022,111,BOS,1,R,34,8,2,0,2,0,0,0,34,0.2353,0.4706,4
662960,4/15/2022,2022,112,CHC,0,R,37,13,6,0,0,6,0,1,44,0.4318,0.5135,5
662620,4/15/2022,2022,113,CIN,0,R,32,5,1,0,0,3,1,0,36,0.25,0.1875,1
663136,4/15/2022,2022,114,CLE,1,L,28,3,2,0,0,2,1,1,32,0.1875,0.1786,1
662960,4/15/2022,2022,115,COL,1,R,34,11,4,0,2,2,0,0,36,0.3611,0.6176,6
662701,4/15/2022,2022,116,DET,0,R,30,3,1,0,1,2,0,0,32,0.1563,0.2333,2
662192,4/15/2022,2022,117,HOU,0,L,31,5,1,0,0,0,1,0,32,0.1875,0.1935,1
662701,4/15/2022,2022,118,KC,1,L,33,5,1,0,0,0,0,0,33,0.1515,0.1818,1
662620,4/15/2022,2022,119,LAD,1,R,29,7,1,2,0,6,1,0,36,0.3889,0.4138,3
662291,4/15/2022,2022,120,WSH,0,R,35,10,2,0,0,6,1,0,42,0.4048,0.3429,7
661792,4/15/2022,2022,133,ATH,0,R,33,6,1,0,0,0,0,0,33,0.1818,0.2121,1
662291,4/15/2022,2022,134,PIT,1,R,32,5,1,0,0,2,0,0,34,0.2059,0.1875,2
662236,4/15/2022,2022,135,SD,1,R,33,6,2,0,0,0,1,0,34,0.2059,0.2424,2
663136,4/15/2022,2022,137,SF,0,R,36,8,2,0,3,4,1,0,41,0.3171,0.5278,4
661267,4/15/2022,2022,138,STL,0,R,40,14,2,0,2,5,1,0,46,0.4348,0.55,10
661528,4/15/2022,2022,139,TB,0,R,32,6,2,0,0,2,0,0,34,0.2353,0.25,2
662014,4/15/2022,2022,140,TEX,1,L,34,8,1,0,0,5,1,1,41,0.3415,0.2647,6
661792,4/15/2022,2022,141,TOR,1,R,32,11,4,0,1,5,1,0,38,0.4474,0.5625,4
663265,4/15/2022,2022,142,MIN,0,R,34,9,4,0,1,8,2,0,44,0.4318,0.4706,8
661417,4/15/2022,2022,143,PHI,0,R,34,8,3,0,1,3,0,0,37,0.2973,0.4118,1
662236,4/15/2022,2022,144,ATL,0,L,35,9,2,0,1,4,0,0,39,0.3333,0.4,5
661528,4/15/2022,2022,145,CWS,1,R,30,6,2,0,1,0,0,0,30,0.2,0.3667,3
661417,4/15/2022,2022,146,MIA,1,R,32,11,4,2,0,4,1,2,39,0.4103,0.5938,7
663357,4/15/2022,2022,147,NYY,0,R,37,7,1,0,0,2,1,0,40,0.25,0.2162,1
661267,4/15/2022,2022,158,MIL,1,R,33,6,0,0,0,2,1,0,36,0.25,0.1818,1
661981,4/16/2022,2022,108,LAA,0,L,39,12,0,0,2,4,0,1,44,0.3636,0.4615,7
662626,4/16/2022,2022,109,AZ,0,R,36,9,2,0,1,4,0,0,40,0.325,0.3889,3
663266,4/16/2022,2022,110,BAL,1,R,33,7,0,0,1,3,0,0,37,0.2778,0.303,2
663238,4/16/2022,2022,111,BOS,1,R,29,6,1,0,2,2,0,0,31,0.2581,0.4483,4
662966,4/16/2022,2022,112,CHC,0,R,37,13,4,1,0,1,0,0,39,0.3684,0.5135,6
662619,4/16/2022,2022,113,CIN,0,L,30,4,0,0,0,2,0,0,32,0.1875,0.1333,2
662966,4/16/2022,2022,115,COL,1,R,33,11,1,1,2,4,0,1,38,0.3947,0.6061,9
662798,4/16/2022,2022,116,DET,0,L,29,4,2,0,0,7,0,0,36,0.3056,0.2069,1
662206,4/16/2022,2022,117,HOU,0,R,34,8,2,1,1,3,0,1,38,0.2895,0.4412,4
662798,4/16/2022,2022,118,KC,1,R,31,8,0,0,1,2,0,0,33,0.303,0.3548,3
662619,4/16/2022,2022,119,LAD,1,R,30,8,0,0,1,2,0,1,33,0.303,0.3667,5
662290,4/16/2022,2022,120,WSH,0,R,35,8,3,0,1,6,0,0,42,0.3415,0.4,4
662626,4/16/2022,2022,121,NYM,1,R,30,5,0,0,1,3,1,0,34,0.2647,0.2667,2
661759,4/16/2022,2022,133,ATH,0,L,35,9,3,0,2,2,0,0,37,0.2973,0.5143,7
662290,4/16/2022,2022,134,PIT,1,L,33,10,1,1,0,3,0,0,36,0.3611,0.3939,6
662235,4/16/2022,2022,135,SD,1,R,31,4,0,0,2,1,0,0,32,0.1563,0.3226,2
662206,4/16/2022,2022,136,SEA,1,R,29,3,0,0,0,0,1,0,30,0.1333,0.1034,0
663076,4/16/2022,2022,137,SF,0,R,33,5,1,0,0,5,0,0,38,0.2632,0.1818,4
661335,4/16/2022,2022,138,STL,0,R,34,8,3,0,0,3,0,0,37,0.2973,0.3235,2
661527,4/16/2022,2022,139,TB,0,R,30,5,1,0,0,4,1,1,36,0.2778,0.2,2
661981,4/16/2022,2022,140,TEX,1,R,33,6,1,0,0,0,0,0,33,0.1818,0.2121,2
661759,4/16/2022,2022,141,TOR,1,R,36,10,1,0,2,1,0,0,37,0.2973,0.4722,5
663238,4/16/2022,2022,142,MIN,0,R,29,5,1,0,0,4,0,0,33,0.2727,0.2069,0
661416,4/16/2022,2022,143,PHI,0,L,37,11,4,0,0,5,1,2,45,0.3778,0.4054,10
