game_date_et,game_pk,away_abbr,home_abbr,venue,season,dog_side,dog_ml,fav_ml,dog_win,signal_proxy_structural_any,struct_owm,struct_lhp,struct_mvf,struct_mvb,struct_h3b,wind_mph,wind_dir_raw,wind_effect,away_era_wma,home_ops_wma,away_throws,opening_total_line,bucket,units_pl_data_row,data_quality
2026-04-04,824378,PHI,COL,Coors Field,2026,home,168,-200,0,0,0,0,0,0,0,7,"7 mph, R To L",HIGH,,0.5387,,10.00,+150-199,-1.0000,incomplete
2026-04-04,824460,CHC,CLE,Progressive Field,2026,away,108,-119,0,0,0,0,0,0,0,16,"16 mph, L To R",MODERATE,,0.6819,,7.50,<+120,-1.0000,incomplete
2026-04-04,824622,TOR,CWS,Rate Field,2026,home,176,-210,1,1,0,0,0,1,1,16,"16 mph, Out To LF",HIGH,,0.5194,,7.50,+150-199,1.7600,incomplete
2026-04-04,824782,SD,BOS,Fenway Park,2026,away,104,-122,1,1,0,0,1,0,0,13,"13 mph, In From RF",HIGH,,0.6700,,8.50,<+120,1.0400,incomplete
2026-04-04,825027,HOU,ATH,Sutter Health Park,2026,home,-104,-112,0,0,0,0,0,0,0,4,"4 mph, Out To RF",HIGH,,0.7039,,10.00,<+120,-1.0000,incomplete
2026-04-04,825104,ATL,AZ,Chase Field,2026,away,-108,-108,0,0,0,0,0,0,0,1,"1 mph, Varies",LOW,,0.5594,,9.50,<+120,-1.0000,incomplete
2026-04-05,822756,LAD,WSH,Nationals Park,2026,away,240,-295,1,0,0,0,0,0,0,4,"4 mph, In From LF",HIGH,,0.7444,,9.50,+200+,2.4000,incomplete
2026-04-05,822917,CIN,TEX,Globe Life Field,2026,home,122,-144,0,0,0,0,0,0,0,12,"12 mph, Varies",LOW,,0.6291,,8.50,+120-149,-1.0000,incomplete
2026-04-05,823238,NYM,SF,Oracle Park,2026,away,100,-118,1,0,0,0,0,0,0,11,"11 mph, Varies",SUPPRESSED,,0.5164,,7.50,<+120,1.0000,incomplete
2026-04-05,823405,BAL,PIT,PNC Park,2026,away,-106,-110,0,1,0,0,0,1,0,16,"16 mph, Out To LF",MODERATE,,0.7271,,8.50,<+120,-1.0000,incomplete
2026-04-05,823566,MIA,NYY,Yankee Stadium,2026,home,158,-188,0,0,0,0,0,0,0,6,"6 mph, L To R",MODERATE,,0.7463,,7.50,+150-199,-1.0000,incomplete
2026-04-05,823729,TB,MIN,Target Field,2026,away,-106,-110,1,0,0,0,0,0,0,13,"13 mph, R To L",HIGH,,0.6167,,7.50,<+120,0.9434,incomplete
2026-04-05,824053,SEA,LAA,Angel Stadium,2026,home,132,-156,1,0,0,0,0,0,0,2,"2 mph, Calm",MODERATE,,0.4032,,9.50,+120-149,1.3200,incomplete
2026-04-05,824131,MIL,KC,Kauffman Stadium,2026,home,100,-118,0,0,0,0,0,0,0,10,"10 mph, L To R",HIGH,,0.7833,,8.50,<+120,-1.0000,incomplete
2026-04-05,824296,STL,DET,Comerica Park,2026,away,134,-158,1,0,0,0,0,0,0,15,"15 mph, Out To LF",MODERATE,,0.8889,,7.50,+120-149,1.3400,incomplete
2026-04-05,824379,PHI,COL,Coors Field,2026,home,190,-230,1,0,0,0,0,0,0,9,"9 mph, In From CF",HIGH,,0.4728,,10.00,+150-199,1.9000,incomplete
2026-04-05,824459,CHC,CLE,Progressive Field,2026,away,120,-132,1,0,0,0,0,0,0,15,"15 mph, L To R",MODERATE,,0.7517,,8.00,+120-149,1.2000,incomplete
2026-04-05,824620,TOR,CWS,Rate Field,2026,home,124,-146,1,0,0,0,0,0,0,4,"4 mph, Out To LF",HIGH,,0.6034,,8.50,+120-149,1.2400,incomplete
2026-04-05,824781,SD,BOS,Fenway Park,2026,away,122,-144,1,0,0,0,0,0,0,2,"2 mph, Out To RF",HIGH,,0.6508,,8.00,+120-149,1.2200,incomplete
2026-04-13,823073,CLE,STL,Busch Stadium,2026,home,-102,-116,0,0,0,0,0,0,0,15,"15 mph, Out To LF",MODERATE,2.2400,0.5812,R,8.00,<+120,-1.0000,complete
2026-04-13,823153,HOU,SEA,T-Mobile Park,2026,away,142,-168,0,0,0,0,0,0,0,7,"7 mph, Out To LF",MODERATE,4.2984,0.6398,R,7.50,+120-149,-1.0000,complete
2026-04-13,823400,WSH,PIT,PNC Park,2026,away,188,-225,0,1,0,0,0,1,0,14,"14 mph, Out To LF",MODERATE,3.0691,0.8081,,7.50,+150-199,-1.0000,complete
